snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20241202,BASE TABLE,2024-12-02 19:32:09.724000 UTC, 0.00000000761338 , 0.00367398529670 , 0.00020722402333 ,LOGICAL,20/10/2025,02/12/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240716,BASE TABLE,2024-07-16 20:46:46.980000 UTC, 0.00000000753789 , 0.00367398529670 , 0.00020516935914 ,LOGICAL,20/10/2025,16/07/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240815,BASE TABLE,2024-08-15 14:58:24.021000 UTC, 0.00000000753516 , 0.00367398529670 , 0.00020509509417 ,LOGICAL,20/10/2025,15/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240123,BASE TABLE,2024-01-23 14:59:48.547000 UTC, 0.00000000751788 , 0.00092930560550 , 0.00080897857071 ,LOGICAL,20/10/2025,23/01/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20250225,BASE TABLE,2025-02-25 19:51:15.490000 UTC, 0.00000000751243 , 0.00367398529670 , 0.00020447621942 ,LOGICAL,20/10/2025,25/02/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231215,BASE TABLE,2023-12-15 16:49:16.628000 UTC, 0.00000000750788 , 0.00092930560550 , 0.00080790202047 ,LOGICAL,20/10/2025,15/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230906,BASE TABLE,2023-09-06 15:53:23.254000 UTC, 0.00000000749060 , 0.00092930560550 , 0.00080604252460 ,LOGICAL,20/10/2025,06/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240515,BASE TABLE,2024-05-15 17:17:36.599000 UTC, 0.00000000742239 , 0.00092930560550 , 0.00079870240933 ,LOGICAL,20/10/2025,15/05/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240412,BASE TABLE,2024-04-12 17:00:18.892000 UTC, 0.00000000741420 , 0.00092930560550 , 0.00079782159550 ,LOGICAL,20/10/2025,12/04/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20250228,BASE TABLE,2025-02-28 10:56:21.628000 UTC, 0.00000000740602 , 0.00092930560550 , 0.00079694078167 ,LOGICAL,20/10/2025,28/02/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240126,BASE TABLE,2024-01-26 17:35:14.979000 UTC, 0.00000000736327 , 0.00092930560550 , 0.00079234097610 ,LOGICAL,20/10/2025,26/01/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230929,BASE TABLE,2023-09-29 04:01:15.972000 UTC, 0.00000000734053 , 0.00367398529670 , 0.00019979752626 ,LOGICAL,20/10/2025,29/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231001,BASE TABLE,2023-10-01 04:01:13.254000 UTC, 0.00000000734053 , 0.00367398529670 , 0.00019979752626 ,LOGICAL,20/10/2025,01/10/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230928,BASE TABLE,2023-09-28 04:01:13.678000 UTC, 0.00000000733962 , 0.00367398529670 , 0.00019977277127 ,LOGICAL,20/10/2025,28/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231002,BASE TABLE,2023-10-02 04:01:15.844000 UTC, 0.00000000733962 , 0.00367398529670 , 0.00019977277127 ,LOGICAL,20/10/2025,02/10/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230930,BASE TABLE,2023-09-30 04:01:17.122000 UTC, 0.00000000733871 , 0.00367398529670 , 0.00019974801628 ,LOGICAL,20/10/2025,30/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231003,BASE TABLE,2023-10-03 04:01:16.872000 UTC, 0.00000000733780 , 0.00367398529670 , 0.00019972326129 ,LOGICAL,20/10/2025,03/10/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231004,BASE TABLE,2023-10-04 04:01:13.241000 UTC, 0.00000000733780 , 0.00367398529670 , 0.00019972326129 ,LOGICAL,20/10/2025,04/10/2023, $0.00 ,
03/11/2025,bt-con-common-data,cons_ccn_common_tkn_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2023-08-25 11:44:26.410000 UTC, 0.00000000732325 , 28.37440998591500 , 0.00000002580935 ,LOGICAL,20/10/2025,25/08/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240125,BASE TABLE,2024-01-25 20:31:54.400000 UTC, 0.00000000730506 , 0.00092930560550 , 0.00078607741107 ,LOGICAL,20/10/2025,25/01/2024, $0.00 ,
